ID,time 0sec
EX_25dkglcn_e,0.0
EX_2ameph_e,0.0
EX_2m35mdntha_e,0.0
EX_2pglyc_e,0.0
EX_34dhbz_e,0.0
EX_35dnta_e,0.0
EX_3cmp_e,0.0
EX_3h4atb_e,0.0
EX_4abut_e,0.0
EX_4abz_e,0.0
EX_4hba_e,0.0
EX_4hoxpac_e,0.0
EX_4hphac_e,0.0
EX_4hpro_DC_e,0.0
EX_4hpro_LT_e,0.0
EX_4oxptn_e,0.0
EX_5drib_e,0.0
EX_5mcsn_e,0.0
EX_6atha_e,0.0
EX_LalaDgluMdapDala_e,0.0
EX_LalaLglu_e,0.0
EX_Lcyst_e,0.0
EX_Ncbmpts_e,0.0
EX_R_3hhpa_e,0.0
EX_R_3hnonaa_e,0.0
EX_R_3hpba_e,0.0
EX_R_3hpdeca_e,0.0
EX_R_3hphpa_e,0.0
EX_R_3hpnona_e,0.0
EX_R_3hpocta_e,0.0
EX_R_3hpt_e,0.0
EX_R_3htd58e_e,0.0
EX_abt_e,0.0
EX_ac_e,0.0
EX_acald_e,0.0
EX_acgam_e,0.0
EX_acmana_e,0.0
EX_acnam_e,0.0
EX_acon_C_e,0.0
EX_actn__R_e,0.0
EX_ade_e,0.0
EX_agm_e,0.0
EX_ala__D_e,0.0
EX_ala__L_e,0.0
EX_alahis_e,0.0
EX_alaleu_e,0.0
EX_alathr_e,0.0
EX_alatrp_e,0.0
EX_anhgm_e,0.0
EX_apc_e,0.0
EX_arab__L_e,0.0
EX_arbt6p_e,0.0
EX_arbt_e,0.0
EX_arg__L_e,0.0
EX_ascb__L_e,0.0
EX_asn__L_e,0.0
EX_aso3_e,0.0
EX_aso4_e,0.0
EX_asp__L_e,0.0
EX_bhb_e,0.0
EX_bz_e,0.0
EX_ca2_e,-0.00032136705904539366
EX_carn_e,0.0
EX_cd2_e,0.0
EX_cellb_e,0.0
EX_cgly_e,0.0
EX_chol_e,0.0
EX_chols_e,0.0
EX_chtbs_e,0.0
EX_cinnm_e,0.0
EX_cl_e,-0.00032136705904539366
EX_cm_e,0.0
EX_co2_e,-3.0998502418375824
EX_co_e,0.0
EX_coa_e,0.0
EX_cobalt2_e,-1.5575140179905996e-06
EX_crn_e,0.0
EX_csn_e,0.0
EX_cu2_e,-0.00043766143905535847
EX_cyan_e,0.0
EX_cynt_e,0.0
EX_cys__L_e,0.0
EX_dca_e,0.0
EX_ddca_e,0.0
EX_dextrin_e,0.0
EX_drib_e,0.0
EX_dxyl_e,0.0
EX_enter_e,0.0
EX_fald_e,0.0
EX_fe2_e,-0.00045797401770665243
EX_fe3_e,-0.00048205058856809046
EX_fe3dcit_e,0.0
EX_fe3pyovd_kt_e,0.0
EX_feenter_e,0.0
EX_fol_e,0.0
EX_for_e,0.0
EX_frmd_e,0.0
EX_fru_e,0.0
EX_fuc_e,0.0
EX_gal_bD_e,0.0
EX_gal_e,0.0
EX_galt_e,0.0
EX_galur_e,0.0
EX_gam_e,0.0
EX_glc__D_e,0.0
EX_glc__aD_e,0.0
EX_glcr_e,0.0
EX_glcur_e,0.0
EX_gln__L_e,0.0
EX_glu__L_e,0.0
EX_gly_e,0.0
EX_glyb_e,0.0
EX_glyc2p_e,0.0
EX_glyc3p_e,0.0
EX_glyclt_e,0.0
EX_glygln_e,0.0
EX_glyglu_e,0.0
EX_glygly_e,0.0
EX_glymet_e,0.0
EX_glyphe_e,0.0
EX_glyser_e,0.0
EX_gthrd_e,0.0
EX_gua_e,0.0
EX_h2_e,-19.4
EX_h2o2_e,0.0
EX_h2o_e,17.297588921072837
EX_h2s_e,0.0
EX_h_e,0.0
EX_hco3_e,0.0
EX_hdca_e,0.0
EX_hdcea_e,0.0
EX_hexs_e,0.0
EX_his__L_e,0.0
EX_hisgly_e,0.0
EX_hishis_e,0.0
EX_hpta_e,0.0
EX_hxa_e,0.0
EX_icit_e,0.0
EX_ile__L_e,0.0
EX_ind3ac_e,0.0
EX_indole_e,0.0
EX_inost_e,0.0
EX_k_e,-0.012050615750028103
EX_lcts_e,0.0
EX_leu__D_e,0.0
EX_leu__L_e,0.0
EX_leuleu_e,0.0
EX_lnlc_e,0.0
EX_lys__L_e,0.0
EX_m_xyl_e,0.0
EX_malt_e,0.0
EX_malthp_e,0.0
EX_malthx_e,0.0
EX_malttr_e,0.0
EX_maltttr_e,0.0
EX_man_e,0.0
EX_melib_e,0.0
EX_met__D_e,0.0
EX_met__L_e,0.0
EX_metox__R_e,0.0
EX_metox_e,0.0
EX_mg2_e,-0.0005355901329365173
EX_mn2_e,-4.270184265990893e-05
EX_mnl_e,0.0
EX_mobd_e,-4.542749219139248e-07
EX_mso3_e,0.0
EX_na1_e,0.0
EX_nh4_e,-0.5676788056290757
EX_nmn_e,0.0
EX_no2_e,0.0
EX_no3_e,0.0
EX_no_e,0.0
EX_nona_e,0.0
EX_novbcn_e,0.0
EX_o2_e,-6.238598064022828
EX_ocdca_e,0.0
EX_ocdcea_e,0.0
EX_octa_e,0.0
EX_orn__D_e,0.0
EX_orn_e,0.0
EX_p_xyl_e,0.0
EX_pea_e,0.0
EX_peamn_e,0.0
EX_pentso3_e,0.0
EX_phe__L_e,0.0
EX_phedca_e,0.0
EX_phehpa_e,0.0
EX_phehxa_e,0.0
EX_pheme_e,0.0
EX_phenona_e,0.0
EX_pheocta_e,0.0
EX_phept_e,0.0
EX_pi_e,-0.02063984620273126
EX_ppap_e,0.0
EX_pro__L_e,0.0
EX_progly_e,0.0
EX_pta_e,0.0
EX_ptrc_e,0.0
EX_ptsla_e,0.0
EX_pydam_e,0.0
EX_pydxn_e,0.0
EX_pyovd_kt_e,0.0
EX_raffin_e,0.0
EX_rib__D_e,0.0
EX_rmn_e,0.0
EX_rnam_e,0.0
EX_s_e,0.0
EX_salchs4_e,0.0
EX_salchs4fe_e,0.0
EX_sbt__D_e,0.0
EX_sel_e,0.0
EX_ser__L_e,0.0
EX_sheme_e,0.0
EX_slnt_e,0.0
EX_so3_e,0.0
EX_so4_e,-0.012025829525533759
EX_spmd_e,0.0
EX_sucr_e,0.0
EX_tartr__D_e,0.0
EX_taur_e,0.0
EX_tcynt_e,0.0
EX_tet_e,0.0
EX_thr__L_e,0.0
EX_tnt_e,0.0
EX_tol_e,0.0
EX_tre_e,0.0
EX_trp__L_e,0.0
EX_tsul_e,0.0
EX_ttdca_e,0.0
EX_ttdcea_e,0.0
EX_ttrcyc_e,0.0
EX_tyr__D_e,0.0
EX_tyr__L_e,0.0
EX_urate_e,0.0
EX_urea_e,0.0
EX_vacc_e,0.0
EX_val__D_e,0.0
EX_val__L_e,0.0
EX_vanln_e,0.0
EX_xyl__D_e,0.0
